# --

# -- A

# -- B

# -- C
"CC Settings","Configurações para cartão de crédito"
"Cookie Notice","Notificador de Cookies"

# -- D

# -- E

# -- F

# -- G

# -- I
"Installments without interest","Parcelas sem juros"
"I understood","Entendi"

# -- K
"Know more","Saiba mais"

# -- L

# -- M
"Measures","Medidas"
"Measurement Guide","Guia de medidas"

# -- P
"Product Installments","Parcelamento no produto"

# -- R

# -- S

# -- T
"Text","Texto"

# -- V
"Voucher Settings","Configurações para voucher"

#-- W

# -- Y
